category,product_name,calories,fat_g,carbohydrates_g,proteins_g
Breakfast,Egg McMuffin,300,13.0,31.0,17.0
Breakfast,Egg White Delight,250,8.0,30.0,18.0
Breakfast,Sausage McMuffin,370,23.0,29.0,14.0
Breakfast,Sausage McMuffin with Egg,450,28.0,30.0,21.0
Breakfast,Sausage McMuffin with Egg Whites,400,23.0,30.0,21.0
Breakfast,Steak & Egg McMuffin,430,23.0,31.0,26.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,26.0,38.0,19.0
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,30.0,43.0,19.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,20.0,36.0,20.0
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,25.0,42.0,20.0
Breakfast,Sausage Biscuit (Regular Biscuit),430,27.0,34.0,11.0
Breakfast,Sausage Biscuit (Large Biscuit),480,31.0,39.0,11.0
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,33.0,36.0,18.0
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,37.0,42.0,18.0
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,27.0,34.0,18.0
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,32.0,40.0,18.0
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,20.0,41.0,17.0
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,24.0,46.0,17.0
Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,32.0,38.0,25.0
Breakfast,"Bacon, Egg & Cheese McGriddles",460,21.0,48.0,19.0
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,15.0,47.0,20.0
Breakfast,Sausage McGriddles,420,22.0,44.0,11.0
Breakfast,"Sausage, Egg & Cheese McGriddles",550,31.0,48.0,20.0
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,26.0,46.0,21.0
Breakfast,"Bacon, Egg & Cheese Bagel",620,31.0,57.0,30.0
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,25.0,55.0,30.0
Breakfast,"Steak, Egg & Cheese Bagel",670,35.0,56.0,33.0
Breakfast,Big Breakfast (Regular Biscuit),740,48.0,51.0,28.0
Breakfast,Big Breakfast (Large Biscuit),800,52.0,56.0,28.0
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),640,37.0,50.0,26.0
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),690,41.0,55.0,26.0
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),1090,56.0,111.0,36.0
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),1150,60.0,116.0,36.0
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,46.0,110.0,35.0
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,50.0,115.0,35.0
Breakfast,Hotcakes,350,9.0,60.0,8.0
Breakfast,Hotcakes and Sausage,520,24.0,61.0,15.0
Breakfast,Sausage Burrito,300,16.0,26.0,12.0
Breakfast,Hash Brown,150,9.0,15.0,1.0
Breakfast,Cinnamon Melts,460,19.0,66.0,6.0
Breakfast,Fruit & Maple Oatmeal,290,4.0,58.0,5.0
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,4.0,49.0,5.0
Beef & Pork,Big Mac,530,27.0,47.0,24.0
Beef & Pork,Quarter Pounder with Cheese,520,26.0,41.0,30.0
Beef & Pork,Quarter Pounder with Bacon & Cheese,600,29.0,48.0,37.0
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,610,31.0,46.0,37.0
Beef & Pork,Quarter Pounder Deluxe,540,27.0,45.0,29.0
Beef & Pork,Double Quarter Pounder with Cheese,750,43.0,42.0,48.0
Beef & Pork,Hamburger,240,8.0,32.0,12.0
Beef & Pork,Cheeseburger,290,11.0,33.0,15.0
Beef & Pork,Double Cheeseburger,430,21.0,35.0,24.0
Beef & Pork,Bacon Clubhouse Burger,720,40.0,51.0,39.0
Beef & Pork,McDouble,380,17.0,34.0,22.0
Beef & Pork,Bacon McDouble,440,22.0,35.0,27.0
Beef & Pork,Daily Double,430,22.0,34.0,22.0
Beef & Pork,Jalapeño Double,430,23.0,35.0,22.0
Beef & Pork,McRib,500,26.0,44.0,22.0
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,510,22.0,55.0,24.0
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,350,9.0,42.0,28.0
Chicken & Fish,Premium Crispy Chicken Club Sandwich,670,33.0,58.0,36.0
Chicken & Fish,Premium Grilled Chicken Club Sandwich,510,20.0,44.0,40.0
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,610,28.0,57.0,32.0
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,450,15.0,43.0,36.0
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,750,38.0,65.0,36.0
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,590,25.0,51.0,40.0
Chicken & Fish,Southern Style Crispy Chicken Sandwich,430,19.0,43.0,21.0
Chicken & Fish,McChicken,360,16.0,40.0,14.0
Chicken & Fish,Bacon Cheddar McChicken,480,24.0,43.0,22.0
Chicken & Fish,Bacon Buffalo Ranch McChicken,430,21.0,41.0,20.0
Chicken & Fish,Buffalo Ranch McChicken,360,16.0,40.0,14.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),630,32.0,56.0,32.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),480,19.0,42.0,36.0
