beverage_category,product_name,beverage_prep,calories,fat_g,carbohydrates_g,proteins_g
Coffee,Brewed Coffee,Short,3,0.1,5.0,0.3
Coffee,Brewed Coffee,Tall,4,0.1,10.0,0.5
Coffee,Brewed Coffee,Grande,5,0.1,10.0,1.0
Coffee,Brewed Coffee,Venti,5,0.1,10.0,1.0
Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70,0.1,75.0,6.0
Classic Espresso Drinks,Caffè Latte,2% Milk,100,3.5,85.0,6.0
Classic Espresso Drinks,Caffè Latte,Soymilk,70,2.5,65.0,5.0
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,0.2,120.0,10.0
Classic Espresso Drinks,Caffè Latte,2% Milk,150,6.0,135.0,10.0
Classic Espresso Drinks,Caffè Latte,Soymilk,110,4.5,105.0,8.0
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,0.3,150.0,13.0
Classic Espresso Drinks,Caffè Latte,2% Milk,190,7.0,170.0,12.0
Classic Espresso Drinks,Caffè Latte,Soymilk,150,5.0,130.0,10.0
Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170,0.4,190.0,16.0
Classic Espresso Drinks,Caffè Latte,2% Milk,240,9.0,220.0,16.0
Classic Espresso Drinks,Caffè Latte,Soymilk,190,7.0,170.0,13.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110,1.5,60.0,7.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130,4.0,70.0,6.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110,3.5,55.0,6.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170,2.0,100.0,10.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200,6.0,115.0,10.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180,5.0,85.0,9.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220,2.5,125.0,13.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260,8.0,140.0,13.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230,7.0,105.0,11.0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280,3.0,160.0,17.0
